patch_index,image_id,patch_name,y,x,H,W,patch_size,stride,clahe_clip,clahe_grid,dog_sigma1,dog_sigma2
1,1,1_y0_x0.png,0,0,832,832,512,256,2.0,8x8,2.0,3.2
2,1,1_y0_x256.png,0,256,832,832,512,256,2.0,8x8,2.0,3.2
3,1,1_y0_x320.png,0,320,832,832,512,256,2.0,8x8,2.0,3.2
4,1,1_y256_x0.png,256,0,832,832,512,256,2.0,8x8,2.0,3.2
5,1,1_y256_x256.png,256,256,832,832,512,256,2.0,8x8,2.0,3.2
6,1,1_y256_x320.png,256,320,832,832,512,256,2.0,8x8,2.0,3.2
7,1,1_y320_x0.png,320,0,832,832,512,256,2.0,8x8,2.0,3.2
8,1,1_y320_x256.png,320,256,832,832,512,256,2.0,8x8,2.0,3.2
9,1,1_y320_x320.png,320,320,832,832,512,256,2.0,8x8,2.0,3.2
10,2,2_y0_x0.png,0,0,832,832,512,256,2.0,8x8,2.0,3.2
11,2,2_y0_x256.png,0,256,832,832,512,256,2.0,8x8,2.0,3.2
12,2,2_y0_x320.png,0,320,832,832,512,256,2.0,8x8,2.0,3.2
13,2,2_y256_x0.png,256,0,832,832,512,256,2.0,8x8,2.0,3.2
14,2,2_y256_x256.png,256,256,832,832,512,256,2.0,8x8,2.0,3.2
15,2,2_y256_x320.png,256,320,832,832,512,256,2.0,8x8,2.0,3.2
16,2,2_y320_x0.png,320,0,832,832,512,256,2.0,8x8,2.0,3.2
17,2,2_y320_x256.png,320,256,832,832,512,256,2.0,8x8,2.0,3.2
18,2,2_y320_x320.png,320,320,832,832,512,256,2.0,8x8,2.0,3.2
19,3,3_y0_x0.png,0,0,832,832,512,256,2.0,8x8,2.0,3.2
20,3,3_y0_x256.png,0,256,832,832,512,256,2.0,8x8,2.0,3.2
21,3,3_y0_x320.png,0,320,832,832,512,256,2.0,8x8,2.0,3.2
22,3,3_y256_x0.png,256,0,832,832,512,256,2.0,8x8,2.0,3.2
23,3,3_y256_x256.png,256,256,832,832,512,256,2.0,8x8,2.0,3.2
24,3,3_y256_x320.png,256,320,832,832,512,256,2.0,8x8,2.0,3.2
25,3,3_y320_x0.png,320,0,832,832,512,256,2.0,8x8,2.0,3.2
26,3,3_y320_x256.png,320,256,832,832,512,256,2.0,8x8,2.0,3.2
27,3,3_y320_x320.png,320,320,832,832,512,256,2.0,8x8,2.0,3.2
28,4,4_y0_x0.png,0,0,832,832,512,256,2.0,8x8,2.0,3.2
29,4,4_y0_x256.png,0,256,832,832,512,256,2.0,8x8,2.0,3.2
30,4,4_y0_x320.png,0,320,832,832,512,256,2.0,8x8,2.0,3.2
31,4,4_y256_x0.png,256,0,832,832,512,256,2.0,8x8,2.0,3.2
32,4,4_y256_x256.png,256,256,832,832,512,256,2.0,8x8,2.0,3.2
33,4,4_y256_x320.png,256,320,832,832,512,256,2.0,8x8,2.0,3.2
34,4,4_y320_x0.png,320,0,832,832,512,256,2.0,8x8,2.0,3.2
35,4,4_y320_x256.png,320,256,832,832,512,256,2.0,8x8,2.0,3.2
36,4,4_y320_x320.png,320,320,832,832,512,256,2.0,8x8,2.0,3.2
37,5,5_y0_x0.png,0,0,832,832,512,256,2.0,8x8,2.0,3.2
38,5,5_y0_x256.png,0,256,832,832,512,256,2.0,8x8,2.0,3.2
39,5,5_y0_x320.png,0,320,832,832,512,256,2.0,8x8,2.0,3.2
40,5,5_y256_x0.png,256,0,832,832,512,256,2.0,8x8,2.0,3.2
41,5,5_y256_x256.png,256,256,832,832,512,256,2.0,8x8,2.0,3.2
42,5,5_y256_x320.png,256,320,832,832,512,256,2.0,8x8,2.0,3.2
43,5,5_y320_x0.png,320,0,832,832,512,256,2.0,8x8,2.0,3.2
44,5,5_y320_x256.png,320,256,832,832,512,256,2.0,8x8,2.0,3.2
45,5,5_y320_x320.png,320,320,832,832,512,256,2.0,8x8,2.0,3.2
46,6,6_y0_x0.png,0,0,832,832,512,256,2.0,8x8,2.0,3.2
47,6,6_y0_x256.png,0,256,832,832,512,256,2.0,8x8,2.0,3.2
48,6,6_y0_x320.png,0,320,832,832,512,256,2.0,8x8,2.0,3.2
49,6,6_y256_x0.png,256,0,832,832,512,256,2.0,8x8,2.0,3.2
50,6,6_y256_x256.png,256,256,832,832,512,256,2.0,8x8,2.0,3.2
51,6,6_y256_x320.png,256,320,832,832,512,256,2.0,8x8,2.0,3.2
52,6,6_y320_x0.png,320,0,832,832,512,256,2.0,8x8,2.0,3.2
53,6,6_y320_x256.png,320,256,832,832,512,256,2.0,8x8,2.0,3.2
54,6,6_y320_x320.png,320,320,832,832,512,256,2.0,8x8,2.0,3.2
55,7,7_y0_x0.png,0,0,832,832,512,256,2.0,8x8,2.0,3.2
56,7,7_y0_x256.png,0,256,832,832,512,256,2.0,8x8,2.0,3.2
57,7,7_y0_x320.png,0,320,832,832,512,256,2.0,8x8,2.0,3.2
58,7,7_y256_x0.png,256,0,832,832,512,256,2.0,8x8,2.0,3.2
59,7,7_y256_x256.png,256,256,832,832,512,256,2.0,8x8,2.0,3.2
60,7,7_y256_x320.png,256,320,832,832,512,256,2.0,8x8,2.0,3.2
61,7,7_y320_x0.png,320,0,832,832,512,256,2.0,8x8,2.0,3.2
62,7,7_y320_x256.png,320,256,832,832,512,256,2.0,8x8,2.0,3.2
63,7,7_y320_x320.png,320,320,832,832,512,256,2.0,8x8,2.0,3.2
64,8,8_y0_x0.png,0,0,832,832,512,256,2.0,8x8,2.0,3.2
65,8,8_y0_x256.png,0,256,832,832,512,256,2.0,8x8,2.0,3.2
66,8,8_y0_x320.png,0,320,832,832,512,256,2.0,8x8,2.0,3.2
67,8,8_y256_x0.png,256,0,832,832,512,256,2.0,8x8,2.0,3.2
68,8,8_y256_x256.png,256,256,832,832,512,256,2.0,8x8,2.0,3.2
69,8,8_y256_x320.png,256,320,832,832,512,256,2.0,8x8,2.0,3.2
70,8,8_y320_x0.png,320,0,832,832,512,256,2.0,8x8,2.0,3.2
71,8,8_y320_x256.png,320,256,832,832,512,256,2.0,8x8,2.0,3.2
72,8,8_y320_x320.png,320,320,832,832,512,256,2.0,8x8,2.0,3.2
73,9,9_y0_x0.png,0,0,832,832,512,256,2.0,8x8,2.0,3.2
74,9,9_y0_x256.png,0,256,832,832,512,256,2.0,8x8,2.0,3.2
75,9,9_y0_x320.png,0,320,832,832,512,256,2.0,8x8,2.0,3.2
76,9,9_y256_x0.png,256,0,832,832,512,256,2.0,8x8,2.0,3.2
77,9,9_y256_x256.png,256,256,832,832,512,256,2.0,8x8,2.0,3.2
78,9,9_y256_x320.png,256,320,832,832,512,256,2.0,8x8,2.0,3.2
79,9,9_y320_x0.png,320,0,832,832,512,256,2.0,8x8,2.0,3.2
80,9,9_y320_x256.png,320,256,832,832,512,256,2.0,8x8,2.0,3.2
81,9,9_y320_x320.png,320,320,832,832,512,256,2.0,8x8,2.0,3.2
82,10,10_y0_x0.png,0,0,832,832,512,256,2.0,8x8,2.0,3.2
83,10,10_y0_x256.png,0,256,832,832,512,256,2.0,8x8,2.0,3.2
84,10,10_y0_x320.png,0,320,832,832,512,256,2.0,8x8,2.0,3.2
85,10,10_y256_x0.png,256,0,832,832,512,256,2.0,8x8,2.0,3.2
86,10,10_y256_x256.png,256,256,832,832,512,256,2.0,8x8,2.0,3.2
87,10,10_y256_x320.png,256,320,832,832,512,256,2.0,8x8,2.0,3.2
88,10,10_y320_x0.png,320,0,832,832,512,256,2.0,8x8,2.0,3.2
89,10,10_y320_x256.png,320,256,832,832,512,256,2.0,8x8,2.0,3.2
90,10,10_y320_x320.png,320,320,832,832,512,256,2.0,8x8,2.0,3.2
91,11,11_y0_x0.png,0,0,832,832,512,256,2.0,8x8,2.0,3.2
92,11,11_y0_x256.png,0,256,832,832,512,256,2.0,8x8,2.0,3.2
93,11,11_y0_x320.png,0,320,832,832,512,256,2.0,8x8,2.0,3.2
94,11,11_y256_x0.png,256,0,832,832,512,256,2.0,8x8,2.0,3.2
95,11,11_y256_x256.png,256,256,832,832,512,256,2.0,8x8,2.0,3.2
96,11,11_y256_x320.png,256,320,832,832,512,256,2.0,8x8,2.0,3.2
97,11,11_y320_x0.png,320,0,832,832,512,256,2.0,8x8,2.0,3.2
98,11,11_y320_x256.png,320,256,832,832,512,256,2.0,8x8,2.0,3.2
99,11,11_y320_x320.png,320,320,832,832,512,256,2.0,8x8,2.0,3.2
100,12,12_y0_x0.png,0,0,832,832,512,256,2.0,8x8,2.0,3.2
101,12,12_y0_x256.png,0,256,832,832,512,256,2.0,8x8,2.0,3.2
