epoch,trainable_params,total_params
1,5251093,13370071
2,5251093,13370071
3,5251093,13370071
4,5251093,13370071
5,5251093,13370071
6,5251093,13370071
7,5251093,13370071
8,5251093,13370071
9,5251093,13370071
10,5251093,13370071
11,12875605,13370071
12,12875605,13370071
13,12875605,13370071
14,12875605,13370071
15,12875605,13370071
16,12875605,13370071
17,12875605,13370071
18,12875605,13370071
19,12875605,13370071
20,12875605,13370071
21,12875605,13370071
22,12875605,13370071
23,12875605,13370071
24,12875605,13370071
25,12875605,13370071
26,13370071,13370071
27,13370071,13370071
28,13370071,13370071
29,13370071,13370071
30,13370071,13370071
31,13370071,13370071
32,13370071,13370071
33,13370071,13370071
34,13370071,13370071
35,13370071,13370071
36,13370071,13370071
37,13370071,13370071
38,13370071,13370071
39,13370071,13370071
40,13370071,13370071
41,13370071,13370071
42,13370071,13370071
43,13370071,13370071
44,13370071,13370071
45,13370071,13370071
46,13370071,13370071
47,13370071,13370071
48,13370071,13370071
49,13370071,13370071
50,13370071,13370071
51,13370071,13370071
52,13370071,13370071
53,13370071,13370071
54,13370071,13370071
55,13370071,13370071
56,13370071,13370071
57,13370071,13370071
58,13370071,13370071
59,13370071,13370071
60,13370071,13370071
61,13370071,13370071
62,13370071,13370071
63,13370071,13370071
64,13370071,13370071
65,13370071,13370071
66,13370071,13370071
67,13370071,13370071
68,13370071,13370071
69,13370071,13370071
70,13370071,13370071
71,13370071,13370071
72,13370071,13370071
73,13370071,13370071
74,13370071,13370071
75,13370071,13370071
76,13370071,13370071
77,13370071,13370071
78,13370071,13370071
79,13370071,13370071
80,13370071,13370071
81,13370071,13370071
82,13370071,13370071
83,13370071,13370071
84,13370071,13370071
85,13370071,13370071
86,13370071,13370071
87,13370071,13370071
88,13370071,13370071
89,13370071,13370071
90,13370071,13370071
